ID, PrimeNumber
1, 0
2, 2
3, 3
4, 5
5, 7
6, 11
7, 13
8, 17
9, 19
10, 23
11, 29
12, 31
13, 37
14, 41
15, 43
16, 47
17, 53
18, 59
19, 61
20, 67
21, 71
22, 73
23, 79
24, 83
25, 89
26, 97
27, 101
28, 103
29, 107
30, 109
31, 113
32, 127
33, 131
34, 137
35, 139
36, 149
37, 151
38, 157
39, 163
40, 167
41, 173
42, 179
43, 181
44, 191
45, 193
46, 197
47, 199
48, 211
49, 223
50, 227
51, 229
52, 233
53, 239
54, 241
55, 251
56, 257
57, 263
58, 269
59, 271
60, 277
61, 281
62, 283
63, 293
64, 307
65, 311
66, 313
67, 317
68, 331
69, 337
70, 347
71, 349
72, 353
73, 359
74, 367
75, 373
76, 379
77, 383
78, 389
79, 397
80, 401
81, 409
82, 419
83, 421
84, 431
85, 433
86, 439
87, 443
88, 449
89, 457
90, 461
91, 463
92, 467
93, 479
94, 487
95, 491
96, 499
97, 503
98, 509
99, 521
100, 523
101, 541
102, 547
103, 557
104, 563
105, 569
106, 571
107, 577
108, 587
109, 593
110, 599
111, 601
112, 607
113, 613
114, 617
115, 619
116, 631
117, 641
118, 643
119, 647
120, 653
121, 659
122, 661
123, 673
124, 677
125, 683
126, 691
127, 701
128, 709
129, 719
130, 727
131, 733
132, 743
133, 751
134, 757
135, 761
136, 769
137, 773
138, 787
139, 797
140, 809
141, 811
142, 821
143, 823
144, 827
145, 829
146, 839
147, 853
148, 857
149, 859
150, 863
151, 877
152, 881
153, 883
154, 887
155, 907
156, 911
157, 919
158, 929
159, 937
160, 941
161, 947
162, 953
163, 967
164, 971
165, 977
166, 983
167, 991
168, 997
169, 1009
170, 1013
171, 1019
172, 1021
173, 1031
174, 1033
175, 1039
176, 1049
177, 1051
178, 1061
179, 1063
180, 1069
181, 1087
182, 1093
183, 1097
184, 1103
185, 1109
186, 1117
187, 1123
188, 1129
189, 1151
190, 1153
191, 1163
192, 1171
193, 1181
194, 1187
195, 1193
196, 1201
197, 1213
198, 1217
199, 1223
200, 1229
201, 1231
202, 1237
203, 1249
204, 1259
205, 1277
206, 1279
207, 1283
208, 1289
209, 1291
210, 1297
211, 1301
212, 1303
213, 1307
214, 1319
215, 1321
216, 1327
217, 1361
218, 1367
219, 1373
220, 1381
221, 1399
222, 1409
223, 1423
224, 1427
225, 1429
226, 1433
227, 1439
228, 1447
229, 1451
230, 1453
231, 1459
232, 1471
233, 1481
234, 1483
235, 1487
236, 1489
237, 1493
238, 1499
239, 1511
240, 1523
241, 1531
242, 1543
243, 1549
244, 1553
245, 1559
246, 1567
247, 1571
248, 1579
249, 1583
250, 1597
251, 1601
252, 1607
253, 1609
254, 1613
255, 1619
256, 1621
257, 1627
258, 1637
259, 1657
260, 1663
261, 1667
262, 1669
263, 1693
264, 1697
265, 1699
266, 1709
267, 1721
268, 1723
269, 1733
270, 1741
271, 1747
272, 1753
273, 1759
274, 1777
275, 1783
276, 1787
277, 1789
278, 1801
279, 1811
280, 1823
281, 1831
282, 1847
283, 1861
284, 1867
285, 1871
286, 1873
287, 1877
288, 1879
289, 1889
290, 1901
291, 1907
292, 1913
293, 1931
294, 1933
295, 1949
296, 1973
297, 1979
298, 1987
299, 1993
300, 1997
301, 1999
302, 2003
303, 2011
304, 2017
305, 2027
306, 2029
307, 2039
308, 2053
309, 2063
310, 2069
311, 2081
312, 2083
313, 2087
314, 2089
315, 2099
316, 2111
317, 2113
318, 2129
319, 2131
320, 2137
321, 2141
322, 2143
323, 2153
324, 2161
325, 2179
326, 2203
327, 2207
328, 2213
329, 2221
330, 2237
331, 2239
332, 2243
333, 2251
334, 2267
335, 2269
336, 2273
337, 2281
338, 2287
339, 2293
340, 2297
341, 2309
342, 2311
343, 2333
344, 2339
345, 2341
346, 2347
347, 2351
348, 2371
349, 2377
350, 2381
351, 2383
352, 2389
353, 2393
354, 2399
355, 2411
356, 2417
357, 2423
358, 2437
359, 2441
360, 2447
361, 2459
362, 2467
363, 2473
364, 2477
365, 2503
366, 2521
367, 2531
368, 2539
369, 2543
370, 2549
371, 2551
372, 2557
373, 2579
374, 2591
375, 2593
376, 2609
377, 2617
378, 2633
379, 2647
380, 2659
381, 2663
382, 2671
383, 2677
384, 2683
385, 2687
386, 2689
387, 2693
388, 2699
389, 2707
390, 2711
391, 2713
392, 2719
393, 2729
394, 2731
395, 2741
396, 2749
397, 2753
398, 2767
399, 2777
400, 2789
401, 2791
402, 2797
403, 2801
404, 2803
405, 2819
406, 2833
407, 2837
408, 2843
409, 2851
410, 2857
411, 2879
412, 2887
413, 2897
414, 2903
415, 2909
416, 2917
417, 2927
418, 2939
419, 2953
420, 2957
421, 2969
422, 2971
423, 2999
424, 3001
425, 3011
426, 3019
427, 3023
428, 3037
429, 3041
430, 3049
431, 3061
432, 3067
433, 3079
434, 3083
435, 3089
436, 3109
437, 3119
438, 3121
439, 3137
440, 3167
441, 3169
442, 3181
443, 3187
444, 3191
445, 3203
446, 3209
447, 3217
448, 3221
449, 3229
450, 3251
451, 3253
452, 3257
453, 3259
454, 3271
455, 3299
456, 3301
457, 3307
458, 3313
459, 3319
460, 3323
461, 3329
462, 3331
463, 3343
464, 3347
465, 3359
466, 3361
467, 3371
468, 3373
469, 3389
470, 3391
471, 3407
472, 3413
473, 3433
474, 3449
475, 3457
476, 3461
477, 3463
478, 3467
479, 3469
480, 3491
481, 3499
482, 3511
483, 3517
484, 3527
485, 3529
486, 3533
487, 3539
488, 3541
489, 3547
490, 3557
491, 3559
492, 3571
493, 3581
494, 3583
495, 3593
496, 3607
497, 3613
498, 3617
499, 3623
500, 3631
501, 3637
502, 3643
503, 3659
504, 3671
505, 3673
506, 3677
507, 3691
508, 3697
509, 3701
510, 3709
511, 3719
512, 3727
513, 3733
514, 3739
515, 3761
516, 3767
517, 3769
518, 3779
519, 3797
520, 3803
521, 3821
522, 3823
523, 3833
524, 3847
525, 3851
526, 3853
527, 3863
528, 3877
529, 3881
530, 3889
531, 3907
532, 3911
533, 3919
534, 3923
535, 3929
536, 3931
537, 3943
538, 3947
539, 3967
540, 3989
541, 4001
542, 4003
543, 4007
544, 4013
545, 4019
546, 4021
547, 4027
548, 4049
549, 4051
550, 4057
551, 4073
552, 4079
553, 4091
554, 4093
555, 4099
556, 4111
557, 4127
558, 4129
559, 4133
560, 4139
561, 4153
562, 4157
563, 4159
564, 4177
565, 4201
566, 4211
567, 4217
568, 4219
569, 4229
570, 4231
571, 4241
572, 4243
573, 4253
574, 4259
575, 4261
576, 4271
577, 4273
578, 4283
579, 4297
580, 4327
581, 4337
582, 4339
583, 4349
584, 4357
585, 4363
586, 4391
587, 4397
588, 4409
589, 4421
590, 4423
591, 4441
592, 4447
593, 4451
594, 4457
595, 4463
596, 4481
597, 4483
598, 4493
599, 4507
600, 4513
601, 4517
602, 4519
603, 4523
604, 4547
605, 4549
606, 4561
607, 4567
608, 4583
609, 4591
610, 4597
611, 4603
612, 4621
613, 4637
614, 4639
615, 4643
616, 4649
617, 4651
618, 4657
619, 4663
620, 4679
621, 4691
622, 4703
623, 4721
624, 4723
625, 4729
626, 4733
627, 4751
628, 4759
629, 4783
630, 4787
631, 4789
632, 4793
633, 4799
634, 4801
635, 4813
636, 4817
637, 4831
638, 4861
639, 4871
640, 4877
641, 4889
642, 4903
643, 4909
644, 4919
645, 4931
646, 4933
647, 4937
648, 4943
649, 4951
650, 4957
651, 4967
652, 4969
653, 4973
654, 4987
655, 4993
656, 4999
657, 5003
658, 5009
659, 5011
660, 5021
661, 5023
662, 5039
663, 5051
664, 5059
665, 5077
666, 5081
667, 5087
668, 5099
669, 5101
670, 5107
671, 5113
672, 5119
673, 5147
674, 5153
675, 5167
676, 5171
677, 5179
678, 5189
679, 5197
680, 5209
681, 5227
682, 5231
683, 5233
684, 5237
685, 5261
686, 5273
687, 5279
688, 5281
689, 5297
690, 5303
691, 5309
692, 5323
693, 5333
694, 5347
695, 5351
696, 5381
697, 5387
698, 5393
699, 5399
700, 5407
701, 5413
702, 5417
703, 5419
704, 5431
705, 5437
706, 5441
707, 5443
708, 5449
709, 5471
710, 5477
711, 5479
712, 5483
713, 5501
714, 5503
715, 5507
716, 5519
717, 5521
718, 5527
719, 5531
720, 5563
721, 5569
722, 5573
723, 5581
724, 5591
725, 5623
726, 5639
727, 5641
728, 5647
729, 5651
730, 5653
731, 5657
732, 5659
733, 5669
734, 5683
735, 5689
736, 5693
737, 5701
738, 5711
739, 5717
740, 5737
741, 5741
742, 5743
743, 5749
744, 5779
745, 5783
746, 5791
747, 5801
748, 5807
749, 5813
750, 5821
751, 5827
752, 5839
753, 5843
754, 5849
755, 5851
756, 5857
757, 5861
758, 5867
759, 5869
760, 5879
761, 5881
762, 5897
763, 5903
764, 5923
765, 5927
766, 5939
767, 5953
768, 5981
769, 5987
770, 6007
771, 6011
772, 6029
773, 6037
774, 6043
775, 6047
776, 6053
777, 6067
778, 6073
779, 6079
780, 6089
781, 6091
782, 6101
783, 6113
784, 6121
785, 6131
786, 6133
787, 6143
788, 6151
789, 6163
790, 6173
791, 6197
792, 6199
793, 6203
794, 6211
795, 6217
796, 6221
797, 6229
798, 6247
799, 6257
800, 6263
801, 6269
802, 6271
803, 6277
804, 6287
805, 6299
806, 6301
807, 6311
808, 6317
809, 6323
810, 6329
811, 6337
812, 6343
813, 6353
814, 6359
815, 6361
816, 6367
817, 6373
818, 6379
819, 6389
820, 6397
821, 6421
822, 6427
823, 6449
824, 6451
825, 6469
826, 6473
827, 6481
828, 6491
829, 6521
830, 6529
831, 6547
832, 6551
833, 6553
834, 6563
835, 6569
836, 6571
837, 6577
838, 6581
839, 6599
840, 6607
841, 6619
842, 6637
843, 6653
844, 6659
845, 6661
846, 6673
847, 6679
848, 6689
849, 6691
850, 6701
851, 6703
852, 6709
853, 6719
854, 6733
855, 6737
856, 6761
857, 6763
858, 6779
859, 6781
860, 6793
861, 6803
862, 6823
863, 6827
864, 6829
865, 6833
866, 6841
867, 6857
868, 6863
869, 6869
870, 6871
871, 6883
872, 6899
873, 6907
874, 6911
875, 6917
876, 6947
877, 6949
878, 6959
879, 6961
880, 6967
881, 6971
882, 6977
883, 6983
884, 6991
885, 6997
886, 7001
887, 7013
888, 7019
889, 7027
890, 7039
891, 7043
892, 7057
893, 7069
894, 7079
895, 7103
896, 7109
897, 7121
898, 7127
899, 7129
900, 7151
901, 7159
902, 7177
903, 7187
904, 7193
905, 7207
906, 7211
907, 7213
908, 7219
909, 7229
910, 7237
911, 7243
912, 7247
913, 7253
914, 7283
915, 7297
916, 7307
917, 7309
918, 7321
919, 7331
920, 7333
921, 7349
922, 7351
923, 7369
924, 7393
925, 7411
926, 7417
927, 7433
928, 7451
929, 7457
930, 7459
931, 7477
932, 7481
933, 7487
934, 7489
935, 7499
936, 7507
937, 7517
938, 7523
939, 7537
940, 7541
941, 7547
942, 7549
943, 7559
944, 7561
945, 7573
946, 7577
947, 7583
948, 7589
949, 7591
950, 7603
951, 7607
952, 7621
953, 7639
954, 7643
955, 7649
956, 7669
957, 7673
958, 7681
959, 7687
960, 7691
961, 7699
962, 7703
963, 7717
964, 7723
965, 7727
966, 7741
967, 7753
968, 7757
969, 7759
970, 7789
971, 7793
972, 7817
973, 7823
974, 7829
975, 7841
976, 7853
977, 7867
978, 7873
979, 7877
980, 7879
981, 7883
982, 7901
983, 7907
984, 7919
985, 7927
986, 7933
987, 7937
988, 7949
989, 7951
990, 7963
991, 7993
992, 8009
993, 8011
994, 8017
995, 8039
996, 8053
997, 8059
998, 8069
999, 8081
1000, 8087
1001, 8089
1002, 8093
1003, 8101
1004, 8111
1005, 8117
1006, 8123
1007, 8147
1008, 8161
1009, 8167
1010, 8171
1011, 8179
1012, 8191
1013, 8209
1014, 8219
1015, 8221
1016, 8231
1017, 8233
1018, 8243
1019, 8263
1020, 8269
1021, 8273
1022, 8291
1023, 8293
1024, 8297
1025, 8311
1026, 8317
1027, 8329
1028, 8353
1029, 8363
1030, 8369
1031, 8377
1032, 8387
1033, 8389
1034, 8419
1035, 8423
1036, 8429
1037, 8431
1038, 8443
1039, 8447
1040, 8461
1041, 8467
1042, 8501
1043, 8513
1044, 8521
1045, 8527
1046, 8537
1047, 8539
1048, 8543
1049, 8563
1050, 8573
1051, 8581
1052, 8597
1053, 8599
1054, 8609
1055, 8623
1056, 8641
1057, 8647
1058, 8663
1059, 8669
1060, 8677
1061, 8681
1062, 8689
1063, 8693
1064, 8699
1065, 8707
1066, 8713
1067, 8719
1068, 8731
1069, 8737
1070, 8741
1071, 8747
1072, 8753
1073, 8761
1074, 8779
1075, 8783
1076, 8803
1077, 8807
1078, 8819
1079, 8821
1080, 8831
1081, 8837
1082, 8839
1083, 8849
1084, 8861
1085, 8863
1086, 8867
1087, 8887
1088, 8893
1089, 8923
1090, 8929
1091, 8941
1092, 8951
1093, 8963
1094, 8969
1095, 8971
1096, 8999
1097, 9001
1098, 9007
1099, 9011
1100, 9013
1101, 9029
1102, 9041
1103, 9043
1104, 9049
1105, 9059
1106, 9067
1107, 9091
1108, 9103
1109, 9109
1110, 9127
1111, 9133
1112, 9137
1113, 9151
1114, 9157
1115, 9161
1116, 9173
1117, 9181
1118, 9187
1119, 9199
1120, 9203
1121, 9209
1122, 9221
1123, 9227
1124, 9239
1125, 9241
1126, 9257
1127, 9277
1128, 9281
1129, 9283
1130, 9293
1131, 9319
1132, 9323
1133, 9341
1134, 9343
1135, 9349
1136, 9371
1137, 9377
1138, 9391
1139, 9397
1140, 9403
1141, 9413
1142, 9419
1143, 9421
1144, 9431
1145, 9433
1146, 9437
1147, 9439
1148, 9461
1149, 9463
1150, 9467
1151, 9473
1152, 9479
1153, 9491
1154, 9497
1155, 9511
1156, 9521
1157, 9533
1158, 9539
1159, 9547
1160, 9551
1161, 9587
1162, 9601
1163, 9613
1164, 9619
1165, 9623
1166, 9629
1167, 9631
1168, 9643
1169, 9649
1170, 9661
1171, 9677
1172, 9679
1173, 9689
1174, 9697
1175, 9719
1176, 9721
1177, 9733
1178, 9739
1179, 9743
1180, 9749
1181, 9767
1182, 9769
1183, 9781
1184, 9787
1185, 9791
1186, 9803
1187, 9811
1188, 9817
1189, 9829
1190, 9833
1191, 9839
1192, 9851
1193, 9857
1194, 9859
1195, 9871
1196, 9883
1197, 9887
1198, 9901
1199, 9907
1200, 9923
1201, 9929
1202, 9931
1203, 9941
1204, 9949
1205, 9967
1206, 9973
